run_id,seed,initial_population,attack_probability,food_regeneration_rate,steps,duration_seconds,final_population
scenario_balanced_001_s42,42,50,0.02,15,200,0.02,57
scenario_balanced_001_s43,43,50,0.02,15,200,0.0219,14
scenario_balanced_001_s44,44,50,0.02,15,200,0.0157,17
scenario_balanced_001_s45,45,50,0.02,15,200,0.0176,17
scenario_balanced_001_s46,46,50,0.02,15,200,0.0216,49
scenario_drought_001_s42,42,50,0.02,5,200,0.0073,19
scenario_drought_001_s43,43,50,0.02,5,200,0.0113,5
scenario_drought_001_s44,44,50,0.02,5,200,0.0176,20
scenario_drought_001_s45,45,50,0.02,5,200,0.0116,6
scenario_drought_001_s46,46,50,0.02,5,200,0.0117,13
scenario_preddom_001_s42,42,50,0.05,15,200,0.0165,8
scenario_preddom_001_s43,43,50,0.05,15,200,0.0204,9
scenario_preddom_001_s44,44,50,0.05,15,200,0.0148,13
scenario_preddom_001_s45,45,50,0.05,15,200,0.0207,16
scenario_preddom_001_s46,46,50,0.05,15,200,0.0161,19
scenario_resabun_001_s42,42,50,0.005,30,200,0.0655,38
scenario_resabun_001_s43,43,50,0.005,30,200,0.0453,34
scenario_resabun_001_s44,44,50,0.005,30,200,0.059,39
scenario_resabun_001_s45,45,50,0.005,30,200,0.0464,33
scenario_resabun_001_s46,46,50,0.005,30,200,0.0498,34
attack_005_s42,42,50,0.005,15,200,0.0234,17
attack_005_s43,43,50,0.005,15,200,0.0206,55
attack_005_s44,44,50,0.005,15,200,0.0231,17
attack_005_s45,45,50,0.005,15,200,0.0319,60
attack_005_s46,46,50,0.005,15,200,0.0286,18
attack_010_s42,42,50,0.01,15,200,0.0255,26
attack_010_s43,43,50,0.01,15,200,0.0208,17
attack_010_s44,44,50,0.01,15,200,0.0308,73
attack_010_s45,45,50,0.01,15,200,0.0202,15
attack_010_s46,46,50,0.01,15,200,0.0257,64
attack_020_s42,42,50,0.02,15,200,0.0189,57
attack_020_s43,43,50,0.02,15,200,0.016,14
attack_020_s44,44,50,0.02,15,200,0.0159,17
attack_020_s45,45,50,0.02,15,200,0.0181,17
attack_020_s46,46,50,0.02,15,200,0.0224,49
attack_040_s42,42,50,0.04,15,200,0.0148,13
attack_040_s43,43,50,0.04,15,200,0.0157,10
attack_040_s44,44,50,0.04,15,200,0.0153,8
attack_040_s45,45,50,0.04,15,200,0.0165,11
attack_040_s46,46,50,0.04,15,200,0.021,36
food_005_s42,42,50,0.01,5,200,0.0103,5
food_005_s43,43,50,0.01,5,200,0.0156,15
food_005_s44,44,50,0.01,5,200,0.0096,21
food_005_s45,45,50,0.01,5,200,0.0098,20
food_005_s46,46,50,0.01,5,200,0.01,4
food_010_s42,42,50,0.01,10,200,0.0166,37
food_010_s43,43,50,0.01,10,200,0.014,36
food_010_s44,44,50,0.01,10,200,0.0126,10
food_010_s45,45,50,0.01,10,200,0.0134,48
food_010_s46,46,50,0.01,10,200,0.0178,11
food_015_s42,42,50,0.01,15,200,0.0224,26
food_015_s43,43,50,0.01,15,200,0.0245,17
food_015_s44,44,50,0.01,15,200,0.0205,73
food_015_s45,45,50,0.01,15,200,0.021,15
food_015_s46,46,50,0.01,15,200,0.0218,64
food_025_s42,42,50,0.01,25,200,0.0279,22
food_025_s43,43,50,0.01,25,200,0.0471,26
food_025_s44,44,50,0.01,25,200,0.0424,31
food_025_s45,45,50,0.01,25,200,0.0421,44
food_025_s46,46,50,0.01,25,200,0.0388,22
pop_020_s42,42,20,0.01,15,200,0.0228,15
pop_020_s43,43,20,0.01,15,200,0.0264,64
pop_020_s44,44,20,0.01,15,200,0.0293,69
pop_020_s45,45,20,0.01,15,200,0.0315,17
pop_020_s46,46,20,0.01,15,200,0.0267,70
pop_050_s42,42,50,0.01,15,200,0.028,26
pop_050_s43,43,50,0.01,15,200,0.0194,17
pop_050_s44,44,50,0.01,15,200,0.0206,73
pop_050_s45,45,50,0.01,15,200,0.0219,15
pop_050_s46,46,50,0.01,15,200,0.0225,64
pop_100_s42,42,100,0.01,15,200,0.0257,66
pop_100_s43,43,100,0.01,15,200,0.0242,15
pop_100_s44,44,100,0.01,15,200,0.0222,16
pop_100_s45,45,100,0.01,15,200,0.0213,14
pop_100_s46,46,100,0.01,15,200,0.0249,18
pop_150_s42,42,150,0.01,15,200,0.0272,66
pop_150_s43,43,150,0.01,15,200,0.0273,17
pop_150_s44,44,150,0.01,15,200,0.0261,77
pop_150_s45,45,150,0.01,15,200,0.0244,18
pop_150_s46,46,150,0.01,15,200,0.0221,16
