Timestamp,Step,Population,Births,Deaths,Food Level,Predator Kills,Average Energy,Growth Rate
2026-03-26T05:24:47.021975,0,150,0,0,0,0,21.07,0
2026-03-26T05:24:47.023261,1,150,0,0,0,0,20.13,0.0
2026-03-26T05:24:47.023261,2,150,0,0,0,0,19.53,0.0
2026-03-26T05:24:47.023261,3,150,0,0,0,0,18.93,0.0
2026-03-26T05:24:47.023261,4,145,0,5,0,5,18.38,-0.03
2026-03-26T05:24:47.024261,5,161,22,6,0,6,17.42,0.11
2026-03-26T05:24:47.024261,6,171,15,5,0,5,16.49,0.06
2026-03-26T05:24:47.024261,7,170,5,6,0,6,15.94,-0.01
2026-03-26T05:24:47.025687,8,174,5,1,0,1,15.28,0.02
2026-03-26T05:24:47.025687,9,178,7,3,0,2,14.4,0.02
2026-03-26T05:24:47.026689,10,177,7,8,0,7,13.94,-0.01
2026-03-26T05:24:47.026689,11,177,3,3,0,3,13.1,0.0
2026-03-26T05:24:47.026689,12,176,3,4,0,3,12.56,-0.01
2026-03-26T05:24:47.026689,13,174,0,2,0,2,11.9,-0.01
2026-03-26T05:24:47.027689,14,169,0,5,0,5,11.17,-0.03
2026-03-26T05:24:47.027689,15,164,0,5,0,4,10.65,-0.03
2026-03-26T05:24:47.027689,16,154,0,10,0,9,10.39,-0.06
2026-03-26T05:24:47.029193,17,151,0,3,0,3,9.83,-0.02
2026-03-26T05:24:47.029193,18,125,0,26,0,7,10.79,-0.17
2026-03-26T05:24:47.030471,19,78,0,47,0,6,14.51,-0.38
2026-03-26T05:24:47.030471,20,74,0,4,0,2,14.55,-0.05
2026-03-26T05:24:47.030471,21,73,0,1,0,1,14.52,-0.01
2026-03-26T05:24:47.030471,22,72,0,1,0,1,14.5,-0.01
2026-03-26T05:24:47.030471,23,69,0,3,0,2,14.64,-0.04
2026-03-26T05:24:47.030471,24,63,0,6,0,2,15.71,-0.09
2026-03-26T05:24:47.031520,25,46,0,17,0,2,19.87,-0.27
2026-03-26T05:24:47.031520,26,39,0,7,0,0,23.79,-0.15
2026-03-26T05:24:47.031520,27,34,0,5,0,0,27.91,-0.13
2026-03-26T05:24:47.031520,28,30,0,4,0,0,32.5,-0.12
2026-03-26T05:24:47.031520,29,25,0,5,0,0,40.2,-0.17
2026-03-26T05:24:47.031520,30,20,0,5,0,1,51.3,-0.2
2026-03-26T05:24:47.031520,31,16,0,4,0,1,60.44,-0.2
2026-03-26T05:24:47.031520,32,12,0,4,0,2,67.42,-0.25
2026-03-26T05:24:47.031520,33,11,0,1,2,1,69.45,-0.08
