step,event_type,details
4,predator_kill,frog eaten
4,death,frog died
5,birth,new frog
5,birth,new frog
5,birth,new frog
5,birth,new frog
5,birth,new frog
5,predator_kill,frog eaten
5,death,frog died
6,birth,new frog
6,birth,new frog
6,birth,new frog
7,birth,new frog
7,birth,new frog
8,birth,new frog
8,birth,new frog
8,birth,new frog
9,birth,new frog
9,birth,new frog
9,birth,new frog
9,birth,new frog
9,birth,new frog
10,birth,new frog
10,birth,new frog
10,birth,new frog
10,death,frog died
10,predator_kill,frog eaten
10,death,frog died
11,birth,new frog
11,birth,new frog
11,birth,new frog
12,birth,new frog
12,birth,new frog
12,birth,new frog
12,death,frog died
13,birth,new frog
13,birth,new frog
13,death,frog died
14,birth,new frog
14,birth,new frog
14,birth,new frog
15,birth,new frog
15,predator_kill,frog eaten
15,death,frog died
16,birth,new frog
16,birth,new frog
16,birth,new frog
17,predator_kill,frog eaten
17,death,frog died
17,predator_kill,frog eaten
17,death,frog died
19,death,frog died
19,predator_kill,frog eaten
19,death,frog died
20,death,frog died
20,predator_kill,frog eaten
20,death,frog died
20,death,frog died
20,predator_kill,frog eaten
20,death,frog died
21,predator_kill,frog eaten
21,death,frog died
22,predator_kill,frog eaten
22,death,frog died
22,death,frog died
22,predator_kill,frog eaten
22,death,frog died
23,predator_kill,frog eaten
23,death,frog died
25,death,frog died
25,predator_kill,frog eaten
25,death,frog died
26,predator_kill,frog eaten
26,death,frog died
26,predator_kill,frog eaten
26,death,frog died
26,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
30,death,frog died
32,predator_kill,frog eaten
32,death,frog died
32,predator_kill,frog eaten
32,death,frog died
33,predator_kill,frog eaten
33,death,frog died
34,death,frog died
35,death,frog died
35,death,frog died
35,death,frog died
35,death,frog died
36,death,frog died
36,death,frog died
36,death,frog died
36,death,frog died
37,death,frog died
37,death,frog died
37,death,frog died
37,predator_kill,frog eaten
37,death,frog died
38,predator_kill,frog eaten
38,death,frog died
38,death,frog died
38,death,frog died
38,predator_kill,frog eaten
38,death,frog died
39,predator_kill,frog eaten
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
40,death,frog died
40,death,frog died
40,death,frog died
41,predator_kill,frog eaten
41,death,frog died
41,death,frog died
41,death,frog died
42,death,frog died
44,death,frog died
44,death,frog died
45,birth,new frog
45,birth,new frog
45,birth,new frog
45,birth,new frog
46,birth,new frog
46,birth,new frog
46,birth,new frog
47,birth,new frog
47,birth,new frog
47,birth,new frog
47,birth,new frog
48,birth,new frog
48,birth,new frog
48,birth,new frog
49,birth,new frog
49,birth,new frog
49,birth,new frog
49,birth,new frog
50,birth,new frog
50,death,frog died
50,birth,new frog
50,death,frog died
50,birth,new frog
50,death,frog died
