Timestamp,Step,Population,Births,Deaths,Food Level,Predator Kills,Average Energy,Growth Rate
2026-04-30T14:51:04.383610,0,50,0,0,14,0,18.6,0
2026-04-30T14:51:04.383610,1,50,0,0,0,0,21.0,0.0
2026-04-30T14:51:04.383610,2,50,0,0,0,0,22.0,0.0
2026-04-30T14:51:04.383610,3,50,0,0,0,0,23.0,0.0
2026-04-30T14:51:04.383610,4,50,0,0,0,0,24.0,0.0
2026-04-30T14:51:04.383610,5,55,8,3,0,3,22.31,0.1
2026-04-30T14:51:04.383610,6,62,10,3,0,3,20.82,0.13
2026-04-30T14:51:04.383610,7,65,4,1,0,1,19.78,0.05
2026-04-30T14:51:04.383610,8,73,10,2,0,2,18.94,0.12
2026-04-30T14:51:04.383610,9,78,6,1,0,1,18.78,0.07
2026-04-30T14:51:04.385136,10,85,9,2,0,2,17.95,0.09
2026-04-30T14:51:04.385136,11,90,6,1,0,1,17.46,0.06
2026-04-30T14:51:04.385136,12,90,2,2,0,2,17.72,0.0
2026-04-30T14:51:04.385136,13,89,3,4,0,4,18.03,-0.01
2026-04-30T14:51:04.385136,14,89,5,5,0,4,17.66,0.0
2026-04-30T14:51:04.385136,15,93,8,4,0,4,17.24,0.04
2026-04-30T14:51:04.385136,16,100,8,1,0,1,16.73,0.08
2026-04-30T14:51:04.385136,17,98,0,2,0,2,16.62,-0.02
2026-04-30T14:51:04.385136,18,89,0,9,0,9,16.33,-0.09
2026-04-30T14:51:04.385136,19,85,0,4,0,3,16.32,-0.04
2026-04-30T14:51:04.385136,20,79,0,6,0,6,16.3,-0.07
2026-04-30T14:51:04.386653,21,73,0,6,0,6,17.3,-0.08
2026-04-30T14:51:04.386653,22,68,0,5,0,4,17.71,-0.07
2026-04-30T14:51:04.386653,23,67,0,1,0,1,17.57,-0.01
2026-04-30T14:51:04.386653,24,63,0,4,0,3,17.56,-0.06
2026-04-30T14:51:04.386653,25,58,0,5,0,5,17.72,-0.08
2026-04-30T14:51:04.386653,26,57,0,1,0,1,18.72,-0.02
2026-04-30T14:51:04.386653,27,56,0,1,0,1,19.8,-0.02
2026-04-30T14:51:04.386653,28,53,0,3,0,3,21.26,-0.05
2026-04-30T14:51:04.386653,29,52,0,1,0,1,22.54,-0.02
2026-04-30T14:51:04.386653,30,48,0,4,0,4,22.7,-0.08
2026-04-30T14:51:04.386653,31,48,0,0,0,0,23.26,0.0
2026-04-30T14:51:04.386653,32,42,0,6,0,4,24.18,-0.12
2026-04-30T14:51:04.386653,33,39,0,3,0,2,24.17,-0.07
2026-04-30T14:51:04.386653,34,36,0,3,0,2,26.39,-0.08
2026-04-30T14:51:04.386653,35,34,0,2,0,2,29.01,-0.06
2026-04-30T14:51:04.386653,36,26,0,8,0,3,32.96,-0.24
2026-04-30T14:51:04.386653,37,23,0,3,0,3,35.17,-0.12
2026-04-30T14:51:04.386653,38,22,0,1,0,1,39.61,-0.04
2026-04-30T14:51:04.386653,39,22,0,0,0,0,42.52,0.0
2026-04-30T14:51:04.386653,40,17,0,5,0,2,47.15,-0.23
2026-04-30T14:51:04.386653,41,17,0,0,2,0,50.47,0.0
2026-04-30T14:51:04.386653,42,17,0,0,5,0,53.5,0.0
2026-04-30T14:51:04.386653,43,16,0,1,9,1,52.03,-0.06
2026-04-30T14:51:04.386653,44,15,0,1,10,0,54.3,-0.06
2026-04-30T14:51:04.388171,45,24,9,0,11,0,39.92,0.6
2026-04-30T14:51:04.388171,46,31,8,1,6,1,34.06,0.29
2026-04-30T14:51:04.388171,47,36,6,1,0,0,30.76,0.16
2026-04-30T14:51:04.388171,48,42,7,1,0,1,28.74,0.17
2026-04-30T14:51:04.388710,49,49,7,0,0,0,26.59,0.17
2026-04-30T14:51:04.388710,50,51,8,6,0,2,17.43,0.04
2026-04-30T14:51:04.388710,51,55,5,1,0,1,17.13,0.08
2026-04-30T14:51:04.388710,52,61,7,1,0,1,17.07,0.11
2026-04-30T14:51:04.388710,53,67,7,1,0,1,16.71,0.1
2026-04-30T14:51:04.388710,54,71,4,0,0,0,16.86,0.06
2026-04-30T14:51:04.388710,55,73,5,3,0,2,16.54,0.03
2026-04-30T14:51:04.388710,56,75,3,1,0,1,16.34,0.03
2026-04-30T14:51:04.389713,57,75,0,0,0,0,16.34,0.0
2026-04-30T14:51:04.389713,58,74,0,1,0,1,15.81,-0.01
2026-04-30T14:51:04.389713,59,70,0,4,0,2,15.62,-0.05
2026-04-30T14:51:04.389713,60,68,0,2,0,1,15.21,-0.03
2026-04-30T14:51:04.389713,61,63,0,5,0,5,16.13,-0.07
2026-04-30T14:51:04.389713,62,58,0,5,0,5,15.64,-0.08
2026-04-30T14:51:04.389713,63,52,0,6,0,6,14.56,-0.1
2026-04-30T14:51:04.389713,64,45,0,7,0,6,12.69,-0.13
2026-04-30T14:51:04.389713,65,42,0,3,0,3,13.9,-0.07
2026-04-30T14:51:04.389713,66,39,0,3,0,3,15.54,-0.07
2026-04-30T14:51:04.389713,67,32,0,7,0,2,16.52,-0.18
2026-04-30T14:51:04.389713,68,30,0,2,0,1,18.45,-0.06
2026-04-30T14:51:04.389713,69,19,0,11,0,1,31.24,-0.37
2026-04-30T14:51:04.389713,70,19,0,0,0,0,34.18,0.0
2026-04-30T14:51:04.389713,71,17,0,2,0,2,38.32,-0.11
2026-04-30T14:51:04.389713,72,17,0,0,1,0,41.44,0.0
2026-04-30T14:51:04.389713,73,15,0,2,2,2,42.57,-0.12
2026-04-30T14:51:04.389713,74,14,0,1,8,1,46.89,-0.07
2026-04-30T14:51:04.389713,75,12,0,2,11,2,49.29,-0.14
2026-04-30T14:51:04.389713,76,11,0,1,15,0,51.95,-0.08
2026-04-30T14:51:04.389713,77,11,0,0,21,0,55.05,0.0
2026-04-30T14:51:04.389713,78,11,0,0,30,0,56.77,0.0
2026-04-30T14:51:04.389713,79,11,0,0,34,0,60.77,0.0
2026-04-30T14:51:04.389713,80,10,0,1,40,0,66.8,-0.09
2026-04-30T14:51:04.389713,81,10,0,0,45,0,70.8,0.0
2026-04-30T14:51:04.389713,82,10,0,0,50,0,74.8,0.0
2026-04-30T14:51:04.389713,83,10,0,0,55,0,78.8,0.0
2026-04-30T14:51:04.389713,84,10,0,0,61,0,82.3,0.0
2026-04-30T14:51:04.389713,85,19,10,1,69,1,45.68,0.9
2026-04-30T14:51:04.389713,86,26,8,1,73,0,35.71,0.37
2026-04-30T14:51:04.389713,87,34,8,0,65,0,32.04,0.31
2026-04-30T14:51:04.389713,88,41,7,0,51,0,30.82,0.21
2026-04-30T14:51:04.389713,89,50,9,0,33,0,29.37,0.22
2026-04-30T14:51:04.389713,90,63,15,2,12,2,26.01,0.26
2026-04-30T14:51:04.391551,91,72,10,1,0,1,24.52,0.14
2026-04-30T14:51:04.391551,92,84,12,0,0,0,22.34,0.17
2026-04-30T14:51:04.391551,93,92,13,5,0,4,20.38,0.1
2026-04-30T14:51:04.391551,94,99,8,1,0,1,19.35,0.08
2026-04-30T14:51:04.391551,95,110,11,0,0,0,18.1,0.11
2026-04-30T14:51:04.391551,96,117,10,3,0,1,16.08,0.06
2026-04-30T14:51:04.391551,97,112,0,5,0,3,14.67,-0.04
2026-04-30T14:51:04.391551,98,108,0,4,0,3,13.81,-0.04
2026-04-30T14:51:04.391551,99,104,0,4,0,2,12.75,-0.04
2026-04-30T14:51:04.391551,100,100,0,4,0,3,12.62,-0.04
2026-04-30T14:51:04.393068,101,93,0,7,0,5,11.82,-0.07
2026-04-30T14:51:04.393068,102,86,0,7,0,7,11.2,-0.08
2026-04-30T14:51:04.393068,103,79,0,7,0,7,11.27,-0.08
2026-04-30T14:51:04.393068,104,74,0,5,0,3,11.73,-0.06
2026-04-30T14:51:04.393068,105,63,0,11,0,2,12.84,-0.15
2026-04-30T14:51:04.393068,106,56,0,7,0,2,14.38,-0.11
2026-04-30T14:51:04.393068,107,46,0,10,0,3,17.41,-0.18
2026-04-30T14:51:04.393068,108,37,0,9,0,1,22.43,-0.2
2026-04-30T14:51:04.393068,109,30,0,7,0,1,26.5,-0.19
2026-04-30T14:51:04.393068,110,25,0,5,0,1,33.56,-0.17
2026-04-30T14:51:04.393068,111,19,0,6,0,2,41.84,-0.24
2026-04-30T14:51:04.393068,112,19,0,0,0,0,44.79,0.0
2026-04-30T14:51:04.393068,113,19,0,0,1,0,47.47,0.0
2026-04-30T14:51:04.393068,114,16,0,3,2,2,50.06,-0.16
2026-04-30T14:51:04.393068,115,16,0,0,3,0,53.44,0.0
2026-04-30T14:51:04.393068,116,15,0,1,2,1,60.33,-0.06
2026-04-30T14:51:04.393068,117,15,0,0,5,0,63.33,0.0
2026-04-30T14:51:04.393068,118,14,0,1,9,1,69.14,-0.07
2026-04-30T14:51:04.393068,119,13,0,1,12,1,72.38,-0.07
2026-04-30T14:51:04.393068,120,13,0,0,5,0,76.0,0.0
2026-04-30T14:51:04.393068,121,12,0,1,10,1,83.0,-0.08
2026-04-30T14:51:04.393068,122,12,0,0,17,0,85.33,0.0
2026-04-30T14:51:04.393068,123,11,0,1,23,1,89.73,-0.08
2026-04-30T14:51:04.393068,124,11,0,0,30,0,92.36,0.0
2026-04-30T14:51:04.394608,125,20,10,1,38,1,52.3,0.82
2026-04-30T14:51:04.394608,126,27,8,1,37,0,40.93,0.35
2026-04-30T14:51:04.394608,127,35,8,0,30,0,36.0,0.3
2026-04-30T14:51:04.394608,128,43,8,0,18,0,33.3,0.23
2026-04-30T14:51:04.394608,129,51,8,0,2,0,31.69,0.19
2026-04-30T14:51:04.394608,130,61,10,0,0,0,27.7,0.2
2026-04-30T14:51:04.394608,131,69,11,3,0,1,23.71,0.13
2026-04-30T14:51:04.394608,132,76,8,1,0,1,22.29,0.1
2026-04-30T14:51:04.394608,133,86,11,1,0,1,20.64,0.13
2026-04-30T14:51:04.394608,134,97,13,2,0,1,19.09,0.13
2026-04-30T14:51:04.394608,135,101,9,5,0,4,17.5,0.04
2026-04-30T14:51:04.394608,136,103,9,7,0,3,15.07,0.02
2026-04-30T14:51:04.394608,137,99,0,4,0,4,15.47,-0.04
2026-04-30T14:51:04.396128,138,91,0,8,0,7,15.6,-0.08
2026-04-30T14:51:04.396128,139,87,0,4,0,2,15.37,-0.04
2026-04-30T14:51:04.396128,140,82,0,5,0,5,15.76,-0.06
2026-04-30T14:51:04.396128,141,79,0,3,0,3,16.38,-0.04
2026-04-30T14:51:04.396128,142,78,0,1,0,1,16.92,-0.01
2026-04-30T14:51:04.396128,143,76,0,2,0,2,16.86,-0.03
2026-04-30T14:51:04.396128,144,75,0,1,0,1,17.44,-0.01
2026-04-30T14:51:04.396128,145,72,0,3,0,2,18.31,-0.04
2026-04-30T14:51:04.396128,146,64,0,8,0,7,17.71,-0.11
2026-04-30T14:51:04.396128,147,60,0,4,0,4,16.57,-0.06
2026-04-30T14:51:04.396128,148,57,0,3,0,2,16.96,-0.05
2026-04-30T14:51:04.396128,149,55,0,2,0,2,16.95,-0.04
2026-04-30T14:51:04.396128,150,55,0,0,0,0,17.82,0.0
2026-04-30T14:51:04.396128,151,51,0,4,0,3,16.89,-0.07
2026-04-30T14:51:04.396128,152,47,0,4,0,4,18.74,-0.08
2026-04-30T14:51:04.396128,153,44,0,3,0,2,19.95,-0.06
2026-04-30T14:51:04.396128,154,43,0,1,0,0,21.28,-0.02
2026-04-30T14:51:04.397652,155,39,0,4,0,3,23.09,-0.09
2026-04-30T14:51:04.397652,156,36,0,3,0,2,26.36,-0.08
2026-04-30T14:51:04.397652,157,35,0,1,0,1,27.3,-0.03
2026-04-30T14:51:04.397652,158,28,0,7,0,4,31.36,-0.2
2026-04-30T14:51:04.397652,159,27,0,1,0,1,34.65,-0.04
2026-04-30T14:51:04.397652,160,25,0,2,0,1,38.76,-0.07
2026-04-30T14:51:04.397652,161,23,0,2,0,1,41.41,-0.08
2026-04-30T14:51:04.397652,162,23,0,0,0,0,42.0,0.0
