Group,Metric,N,Mean,Std Dev,Min,Max,CI Low,CI High
attack_005,Final Pop,5,33.4,19.7444,17.0,60.0,16.0933,50.7067
attack_005,Max Pop,5,152.8,12.7185,139.0,171.0,141.6518,163.9482
attack_005,Avg Pop,5,71.915,5.2878,65.595,80.34,67.28,76.55
attack_005,Total Deaths,5,607.8,28.4422,570.0,653.0,582.8693,632.7307
attack_005,Growth Rate,5,0.0079,0.0021,0.0055,0.0111,0.006,0.0098
attack_010,Final Pop,5,39.0,24.5357,15.0,73.0,17.4935,60.5065
attack_010,Max Pop,5,149.6,12.4676,139.0,174.0,138.6717,160.5283
attack_010,Avg Pop,5,74.817,5.7824,68.745,82.515,69.7485,79.8855
attack_010,Total Deaths,5,588.6,25.1364,548.0,622.0,566.5669,610.6331
attack_010,Growth Rate,5,0.0077,0.0036,0.0049,0.0139,0.0046,0.0108
attack_020,Final Pop,5,30.8,18.3347,14.0,57.0,14.729,46.871
attack_020,Max Pop,5,126.2,6.6753,116.0,134.0,120.3488,132.0512
attack_020,Avg Pop,5,58.693,9.3025,48.965,75.88,50.539,66.847
attack_020,Total Deaths,5,525.0,21.9727,497.0,547.0,505.7401,544.2599
attack_020,Growth Rate,5,0.006,0.0024,0.0048,0.0109,0.0039,0.0082
attack_040,Final Pop,5,15.6,10.3267,8.0,36.0,6.5483,24.6517
attack_040,Max Pop,5,107.6,7.6315,95.0,119.0,100.9107,114.2893
attack_040,Avg Pop,5,47.86,5.2234,42.7,57.565,43.2815,52.4385
attack_040,Total Deaths,5,466.6,26.6728,435.0,512.0,443.2202,489.9798
attack_040,Growth Rate,5,0.0019,0.0021,-0.0017,0.0046,0.0001,0.0037
food_005,Final Pop,5,13.0,7.2388,4.0,21.0,6.6549,19.3451
food_005,Max Pop,5,76.0,7.1554,69.0,89.0,69.728,82.272
food_005,Avg Pop,5,31.512,1.9819,30.055,35.405,29.7748,33.2492
food_005,Total Deaths,5,221.4,10.0717,209.0,235.0,212.5717,230.2283
food_005,Growth Rate,5,0.0,0.0032,-0.0042,0.0043,-0.0028,0.0028
food_010,Final Pop,5,28.4,15.2132,10.0,48.0,15.0651,41.7349
food_010,Max Pop,5,98.0,8.6487,86.0,109.0,90.4191,105.5809
food_010,Avg Pop,5,49.899,5.433,44.61,57.99,45.1367,54.6613
food_010,Total Deaths,5,361.6,26.5977,316.0,394.0,338.286,384.914
food_010,Growth Rate,5,0.0044,0.003,0.0008,0.0099,0.0018,0.007
food_015,Final Pop,5,39.0,24.5357,15.0,73.0,17.4935,60.5065
food_015,Max Pop,5,149.6,12.4676,139.0,174.0,138.6717,160.5283
food_015,Avg Pop,5,74.817,5.7824,68.745,82.515,69.7485,79.8855
food_015,Total Deaths,5,588.6,25.1364,548.0,622.0,566.5669,610.6331
food_015,Growth Rate,5,0.0077,0.0036,0.0049,0.0139,0.0046,0.0108
food_025,Final Pop,5,29.0,8.1976,22.0,44.0,21.8145,36.1855
food_025,Max Pop,5,265.8,23.0252,231.0,293.0,245.6175,285.9825
food_025,Avg Pop,5,129.62,17.4134,95.605,145.265,114.3565,144.8835
food_025,Total Deaths,5,1027.2,64.341,924.0,1117.0,970.8027,1083.5973
