Run ID,Seed,Initial Pop,Final Pop,Attack Prob,Food Regen,Max Pop,Total Births,Total Deaths,Total Predator Kills,Total Steps,Avg Pop,Avg Energy,Growth Rate,Final Growth Rate
attack_005_s42,42,50,17,0.005,15,171,591,624,56,200,75.2,28.8765,0.0059,0.0
attack_005_s43,43,50,55,0.005,15,165,597,592,52,200,70.555,31.6472,0.0111,0.0
attack_005_s44,44,50,17,0.005,15,145,620,653,62,200,65.595,34.8854,0.0075,0.0
attack_005_s45,45,50,60,0.005,15,144,580,570,63,200,80.34,25.6753,0.0096,-0.1304
attack_005_s46,46,50,18,0.005,15,139,568,600,54,200,67.885,29.5229,0.0055,0.0
attack_010_s42,42,50,26,0.01,15,144,579,603,132,200,82.515,23.6953,0.0049,-0.4091
attack_010_s43,43,50,17,0.01,15,139,561,594,107,200,68.745,27.6189,0.005,0.0
attack_010_s44,44,50,73,0.01,15,144,571,548,115,200,71.315,31.3442,0.0139,-0.0267
attack_010_s45,45,50,15,0.01,15,147,587,622,125,200,70.415,27.6456,0.0052,0.0
attack_010_s46,46,50,64,0.01,15,174,590,576,134,200,81.095,24.0513,0.0095,-0.0588
attack_020_s42,42,50,57,0.02,15,129,504,497,216,200,59.28,32.1591,0.0109,0.0
attack_020_s43,43,50,14,0.02,15,121,509,545,145,200,52.44,33.8878,0.0048,0.0
attack_020_s44,44,50,17,0.02,15,116,467,500,180,200,48.965,35.5343,0.0048,0.0
attack_020_s45,45,50,17,0.02,15,134,503,536,198,200,56.9,31.3172,0.0048,0.0
attack_020_s46,46,50,49,0.02,15,131,546,547,257,200,75.88,22.1495,0.0049,-0.1091
attack_040_s42,42,50,13,0.04,15,108,417,454,307,200,44.065,29.1991,0.0029,0.0
attack_040_s43,43,50,10,0.04,15,107,439,479,293,200,46.805,32.072,0.0019,-0.1667
attack_040_s44,44,50,8,0.04,15,109,411,453,267,200,42.7,38.3367,0.0019,-0.2
attack_040_s45,45,50,11,0.04,15,95,396,435,311,200,48.165,25.8579,-0.0017,0.0
attack_040_s46,46,50,36,0.04,15,119,498,512,373,200,57.565,24.9382,0.0046,-0.027
food_005_s42,42,50,5,0.01,5,78,184,229,59,200,31.195,20.6564,-0.0042,-0.1667
food_005_s43,43,50,15,0.01,5,73,188,223,47,200,35.405,18.9967,0.001,-0.1176
food_005_s44,44,50,21,0.01,5,71,180,209,54,200,30.365,20.794,0.0021,-0.0455
food_005_s45,45,50,20,0.01,5,69,181,211,53,200,30.055,22.6331,0.0043,-0.1304
food_005_s46,46,50,4,0.01,5,89,189,235,44,200,30.54,25.2376,-0.0031,0.0
food_010_s42,42,50,37,0.01,10,101,363,376,99,200,57.99,19.5814,0.0035,-0.0513
food_010_s43,43,50,36,0.01,10,104,337,351,99,200,54.755,21.1167,0.0038,0.0
food_010_s44,44,50,10,0.01,10,86,331,371,82,200,46.86,25.7848,0.0008,0.0
food_010_s45,45,50,48,0.01,10,90,314,316,71,200,45.28,29.1284,0.0099,-0.0769
food_010_s46,46,50,11,0.01,10,109,355,394,84,200,44.61,31.6678,0.0041,0.0
food_015_s42,42,50,26,0.01,15,144,579,603,132,200,82.515,23.6953,0.0049,-0.4091
food_015_s43,43,50,17,0.01,15,139,561,594,107,200,68.745,27.6189,0.005,0.0
food_015_s44,44,50,73,0.01,15,144,571,548,115,200,71.315,31.3442,0.0139,-0.0267
food_015_s45,45,50,15,0.01,15,147,587,622,125,200,70.415,27.6456,0.0052,0.0
food_015_s46,46,50,64,0.01,15,174,590,576,134,200,81.095,24.0513,0.0095,-0.0588
food_025_s42,42,50,22,0.01,25,231,896,924,139,200,95.605,35.8851,0.0085,-0.0435
food_025_s43,43,50,26,0.01,25,273,976,1000,218,200,134.635,24.0896,0.0048,-0.037
food_025_s44,44,50,31,0.01,25,284,1098,1117,237,200,145.265,22.5856,0.0069,-0.0312
food_025_s45,45,50,44,0.01,25,293,1027,1033,248,200,136.385,22.7974,0.0063,-0.12
food_025_s46,46,50,22,0.01,25,248,1034,1062,245,200,136.21,23.7781,0.0039,-0.0833
